"env","SourceInstance","Collected","member_name","member_type_desc","member_state_desc"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","psql-04","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","psql-02","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","psql-06","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","psql-04","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","psql-02","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","psql-06","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","psql-04","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","psql-02","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","psql-06","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","psql-03","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","psql-01","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","psql-05","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","psql-03","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","psql-01","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","psql-05","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","psql-03","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","psql-01","CLUSTER_NODE","UP"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","psql-05","CLUSTER_NODE","UP"
"QA","QSQL-02","8/21/2025 1:17:30 PM","qsql-02","CLUSTER_NODE","UP"
"QA","QSQL-02","8/21/2025 1:17:30 PM","qsql-06","CLUSTER_NODE","UP"
"QA","QSQL-02","8/21/2025 1:17:30 PM","qsql-04","CLUSTER_NODE","UP"
"QA","QSQL-04","8/21/2025 1:17:30 PM","qsql-02","CLUSTER_NODE","UP"
"QA","QSQL-04","8/21/2025 1:17:30 PM","qsql-06","CLUSTER_NODE","UP"
"QA","QSQL-04","8/21/2025 1:17:30 PM","qsql-04","CLUSTER_NODE","UP"
"QA","QSQL-06","8/21/2025 1:17:30 PM","qsql-02","CLUSTER_NODE","UP"
"QA","QSQL-06","8/21/2025 1:17:30 PM","qsql-06","CLUSTER_NODE","UP"
"QA","QSQL-06","8/21/2025 1:17:30 PM","qsql-04","CLUSTER_NODE","UP"
